"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"PSMB3",0.130725130327578,0.169886298497054,0.741,0.78,1
"DPPA3",0.130907842718893,0.557191078918863,0.023,0.029,1
"NQO1",0.130950240723146,0.201736832269786,0.606,0.651,1
"CTSL1P2",0.131000422330272,0.416454806275249,0.042,0.051,1
"PPP2R5A",0.131080755745997,0.457427003478658,0.144,0.161,1
"MPHOSPH10",0.131382782514004,0.229575433846319,0.492,0.488,1
"GPR89B",0.131465824115658,0.326282344598705,0.242,0.267,1
"CEP164",0.131607665891215,0.253219134259559,0.378,0.362,1
"ARHGEF12",0.131630970668084,0.280995740450195,0.396,0.433,1
"ELOVL2-AS1",0.131789344445497,1.16240250081778,0.095,0.11,1
"GJB7",0.131934822079004,1.4186127995506,0.082,0.097,1
"C20orf144",0.131949792924454,0.694235910988366,0.024,0.018,1
"FAM43B",0.131955586159019,0.763865605256292,0.016,0.011,1
"TRAPPC8",0.131958932507995,0.363683672533474,0.295,0.324,1
"ESF1",0.131966591614018,0.513333498406663,0.572,0.567,1
"MOB1A",0.13215128782683,0.352153698350363,0.48,0.472,1
"KIAA1919",0.132284231145174,0.432858905993311,0.779,0.811,1
"SNORD89",0.132291454571547,-0.30436399241782,0.009,0.014,1
"CLDN16",0.132516679381981,0.221022500223008,0.456,0.512,1
"TNFRSF10B",0.132742485606703,0.460301512825564,0.596,0.638,1
"PTPRT",0.132763564739428,-0.143845015144626,0.057,0.067,1
"MAP2K4P1",0.132788759372697,-3.29994759309387,0.007,0.011,1
"S1PR5",0.132794198764604,3.05727455073122,0.023,0.018,1
"SLC23A3",0.132947888627539,1.05631247918818,0.025,0.019,1
"MYLK3",0.132978787294094,0.181733371022317,0.83,0.89,1
"CLDN19",0.13301452163175,-0.440597910481767,0.191,0.213,1
"ZNF487P",0.133059527442051,0.592143747964545,0.051,0.061,1
"TEX9",0.133112278139529,0.585693700871413,0.12,0.137,1
"ZNF93",0.133126379942773,0.942877279593561,0.389,0.386,1
"HOMER2",0.133148079693331,0.551772903559548,0.079,0.069,1
"TSSK4",0.133183658037054,0.879257668397789,0.048,0.04,1
"LINC00550",0.133193869676932,1.02776339428511,0.013,0.018,1
"FNDC8",0.133223484578626,0.149110881141669,0.035,0.044,1
"SULT1A1",0.133266150331942,0.515313408066005,0.136,0.123,1
"ADH6",0.133519099985107,0.532670158454704,0.024,0.031,1
"LRRC8E",0.133711768416818,0.643952855753898,0.056,0.067,1
"SLC22A3",0.133739752493947,0.550399688234408,0.025,0.019,1
"PPIE",0.133878764109018,-0.296366287149028,0.635,0.664,1
"PTPN2",0.133880966929851,0.724486301412638,0.802,0.846,1
"RFC1",0.133894047542142,0.338028275070669,0.568,0.563,1
"ZNF350",0.13394488272386,0.121729285371267,0.204,0.227,1
"CLP1",0.133951203319978,-0.145113999119202,0.131,0.147,1
"C4orf40",0.134049082638824,0.729510231317215,0.137,0.155,1
"TTC39A",0.134118092487299,0.665506177223576,0.036,0.044,1
"TSNAX",0.134278038930039,0.491151859068613,0.718,0.779,1
"LRRC55",0.134311923759377,1.59640214885175,0.02,0.015,1
"CYP2D6",0.134393409067758,0.436364493126958,0.154,0.14,1
"VSTM5",0.134408655731952,1.52886711173358,0.012,0.008,1
"RPL10L",0.134563120463111,2.58596311464845,0.009,0.014,1
"MBOAT4",0.134646005901463,0.760039944024365,0.019,0.025,1
"BICD1",0.134743513931001,-0.257695029386579,0.587,0.602,1
"UFSP1",0.134892163597769,0.679410432771388,0.055,0.046,1
"FAM188B",0.134898081307452,-0.119228053757078,0.125,0.14,1
"LENG1",0.134919610363535,0.109027903829984,0.24,0.226,1
"CASP8AP2",0.134963164492519,0.260925822505837,0.333,0.367,1
"DDX58",0.134991954956089,1.24895458582442,0.332,0.328,1
"AQP6",0.134993207980308,0.426265213204079,0.716,0.758,1
"GMCL1P1",0.135059293389224,0.986901066805035,0.143,0.163,1
"F13A1",0.135142049374326,3.1868517586698,0.013,0.018,1
"ESYT3",0.135359598262286,0.102742412938949,0.023,0.03,1
"GRIK1-AS1",0.135491929650626,1.04101612403453,0.024,0.018,1
"PPHLN1",0.135556021804605,0.319652856719503,0.623,0.684,1
"NFATC3",0.135595270578047,0.169364520066181,0.426,0.468,1
"DECR2",0.135607171163548,0.197298784361643,0.288,0.312,1
"C6orf70",0.135616311911315,0.212367358095374,0.252,0.276,1
"PARP11",0.135707485632483,0.172204589888693,0.567,0.604,1
"CABP5",0.135734459074787,1.84550374204629,0.021,0.015,1
"LOC100129924",0.135752049730219,0.708146544917272,0.016,0.021,1
"RNASEH2B-AS1",0.135853817160695,-1.16485223595958,0.014,0.019,1
"CELF4",0.135856935442435,0.767518194803707,0.144,0.164,1
"PRICKLE2-AS3",0.135869741163654,0.196096137590931,0.931,0.962,1
"GSDMC",0.135951264680611,0.25857444691145,0.345,0.384,1
"LOC729176",0.136015668197832,-0.142803690019679,0.017,0.023,1
"CAMK2N2",0.136098195575335,0.162231090425746,0.049,0.04,1
"POLR2M",0.136368133509651,0.157457479191749,0.553,0.594,1
"HAS1",0.136517378642876,0.525867071865026,0.012,0.008,1
"C19orf54",0.136587418784615,0.439125210288337,0.547,0.56,1
"INO80B-WBP1",0.136667536236735,0.469108453867665,0.036,0.044,1
"WDPCP",0.136686504854794,1.01964435528464,0.286,0.28,1
"ATP11B",0.136701456272128,0.225159293900842,0.31,0.336,1
"LOC100506050",0.13678082894067,1.78400879660269,0.036,0.044,1
"C11orf45",0.13697549557568,0.559708450439119,0.01,0.006,1
"KIAA1875",0.137198216217318,0.513912610530007,0.683,0.714,1
"SNORD116-24",0.137304986736544,-0.822967787789824,0.007,0.011,1
"PTPN22",0.137346667265829,-1.23752817316153,0.012,0.008,1
"NIT2",0.137363757076956,0.132596797016616,0.441,0.491,1
"TAF4B",0.137436069379297,-0.470310726940427,0.067,0.077,1
"FBXW8",0.13764110608768,0.179288445559429,0.455,0.439,1
"FAM193B",0.137890027862306,0.133349149131434,0.283,0.307,1
"JMY",0.137903217257633,0.18782302701435,0.343,0.329,1
"SULT2A1",0.137918160550682,0.571915664070963,0.523,0.55,1
"MRPS7",0.138135082867151,0.100288230033204,0.604,0.628,1
