"gene","logFC","AveExpr","t","pval","padj","B","sig"
"C4orf48",-1.25097432751251,1.81968363517564,-4.22667186759278,0.000222125451001654,0.0502233645415871,0.628275564041364,"NS"
"EGFR",3.50962509073944,3.28915592762812,4.22543398621484,0.000222875156164671,0.0502233645415871,0.625272643566501,"NS"
"PEA15",-0.828682352690092,2.60120547582489,-4.22459324689281,0.000223385762225243,0.0502233645415871,0.623233209233224,"NS"
"NEK3",-0.36388816687318,0.440237501768641,-4.20099276642681,0.000238199926631082,0.0529842794247797,0.566009923579621,"NS"
"LOC730102",-0.148138672989344,0.130213388975703,-4.19198873818517,0.000244103852448546,0.0537259731668068,0.544191609621756,"NS"
"CUL2",-0.469275481415037,0.845788105338528,-4.17984671889394,0.000252294578260696,0.0549502847588843,0.514781485508974,"NS"
"TP53I3",-0.671624675847942,0.833645362776911,-4.1732802890338,0.000256836506170611,0.0553628299744465,0.498882305240386,"NS"
"PDZD8",-0.226655189589813,0.222205125079998,-4.15581122485791,0.000269316075523953,0.0568753790168192,0.456605287875752,"NS"
"KIFC3",-0.366183335494045,0.364069778516329,-4.15219815364351,0.000271970855743611,0.0568753790168192,0.447865048415448,"NS"
"ATP5C1",-1.51571318554906,3.97987300231018,-4.14948290608293,0.000273982907635929,0.0568753790168192,0.44129756394069,"NS"
"ULBP1",-0.442168369443666,0.323013857049701,-4.14423814510931,0.000277911019720878,0.0568753790168192,0.428613953152603,"NS"
"TOX2",-0.179168942038513,0.0851122224899581,-4.14367770093946,0.000278334038867954,0.0568753790168192,0.427258774702195,"NS"
"AGMO",0.686172591261496,0.60926216030678,4.14124935674955,0.00028017428087103,0.0568753790168192,0.421387303710554,"NS"
"GALNT16",-0.355018420167289,0.24588295580748,-4.1161461991786,0.000299914813230539,0.0600538166438901,0.360726516433308,"NS"
"MSI1",-0.845101685319179,1.03772998257026,-4.11410870117785,0.000301575912172197,0.0600538166438901,0.355805903248344,"NS"
"ECD",-0.626580450407226,1.054445291461,-4.09641961709539,0.000316383337443193,0.0612613891431638,0.313105163919873,"NS"
"RIT1",-0.481079699624855,1.3019217321065,-4.09308465992816,0.000319254170739216,0.0612613891431638,0.305058552034244,"NS"
"HPS1",-0.785467330138928,0.621874222178401,-4.09077823121319,0.000321254605146613,0.0612613891431638,0.299494303660115,"NS"
"CSGALNACT2",-0.268165722154522,0.504444684986321,-4.09037792165985,0.000321603060408864,0.0612613891431638,0.298528619043452,"NS"
"TCTN3",-0.832487532598286,1.15937189105731,-4.08959048911739,0.000322289578925248,0.0612613891431638,0.296629112483058,"NS"
"AKR1E2",-0.0658607174166733,0.0214895639190334,-4.07847029779397,0.000332140124957026,0.0625650258804185,0.269811543697315,"NS"
"MYO1B",-0.718508969428358,0.301652074128451,-4.06412208890859,0.000345289092595966,0.0644611574740094,0.235230039600225,"NS"
"SVIP",-0.725293334997417,0.450380320425069,-4.05418942728832,0.00035469029496468,0.0656302599771372,0.211304689238444,"NS"
"LRRC4C",-1.22443546122087,1.23357906648005,-4.04633241777261,0.000362304908608067,0.0664511695972463,0.192387307054115,"NS"
"CHUK",-0.271250124348208,0.350707266490461,-4.04300506111836,0.000365577878126296,0.0664684161195019,0.18437821964531,"NS"
"SPDYE8P",0.836417514808249,1.78703904057172,4.0386331822975,0.000369922542116915,0.0666785382165738,0.173856942372023,"NS"
"LAMA4",-1.00346035731462,0.844222496919507,-4.02905041561697,0.000379624080207517,0.0678423922483673,0.150803335312268,"NS"
"ABI1",-0.726297588776355,1.49691699071845,-4.02054508361038,0.000388444121653063,0.0686771680392285,0.130351163024912,"NS"
"LYPLA2",-0.584990792764245,1.35400516736136,-4.01793465168807,0.000391191328049559,0.0686771680392285,0.124075834615087,"NS"
"STON2",-0.83972934952885,1.23767264095026,-4.01312755907957,0.000396300351757469,0.0686771680392285,0.112522080798078,"NS"
"TRIM8",-0.412997035577337,0.529991672643827,-4.01073792408863,0.000398864428657987,0.0686771680392285,0.106779715644328,"NS"
"KLF11",-0.241171141582484,0.146944110451656,-4.00901976000456,0.000400718087942316,0.0686771680392285,0.10265135896217,"NS"
"USMG5",-1.25421036170138,2.54835464267628,-4.00584829713928,0.000404161918911359,0.0687042403456716,0.0950320345859144,"NS"
"PEX1",0.551833485733414,1.14180203965279,3.99072897757751,0.000420983673189603,0.0709251654331925,0.0587260283399349,"NS"
"KATNBL1",-0.537729124361756,1.47511056058097,-3.98807120457483,0.000424010984702715,0.0709251654331925,0.0523469596892108,"NS"
"DAP",-1.04973541786522,1.88857425984822,-3.97918647312878,0.000434287116012059,0.0720675341960011,0.0310289018154251,"NS"
"TMEM246",-0.672239305772108,0.403942270630551,-3.97265334793873,0.000441999048992462,0.0727697489400267,0.0153599135582088,"NS"
"ARVCF",-0.452166957635731,0.538201942330556,-3.96673071831893,0.000449106457137535,0.0733622415022557,0.00116002686313532,"NS"
"SLK",-0.219183333761079,0.310079892188306,-3.95824003456589,0.000459491774357276,0.0740784378844987,-0.0191887365775916,"NS"
"RPS24",-1.46705878928013,5.19387005952489,-3.95736398040781,0.000460576638049875,0.0740784378844987,-0.0212877333898991,"NS"
"SLC35G1",-0.0770511484589839,0.063278099348253,-3.95261291184979,0.000466504074474857,0.0744590358259143,-0.0326693211819595,"NS"
