"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","pct_diff","pct_ratio","is_artifact"
"SPDYE8P",6.05026457446013e-113,1.65956736930509,0.791,0.59,1.34285622230142e-108,"SPDYE8P",0.201,1.335,FALSE
"S100A16",3.1972231758561e-64,1.6245466504809,0.528,0.327,7.09623683881261e-60,"S100A16",0.201,1.59643916913947,FALSE
"SLC4A4",1.29773993850215e-53,1.77125858799918,0.394,0.197,2.88033379350553e-49,"SLC4A4",0.197,1.95169082125604,FALSE
"COL16A1",1.59334508132613e-52,1.05273438385619,0.422,0.226,3.53642940800334e-48,"COL16A1",0.196,1.83050847457627,FALSE
"GATM",4.9065413132745e-82,2.24434564452569,0.612,0.422,1.08900684448128e-77,"GATM",0.19,1.43981481481481,FALSE
"PCDHB11",7.83582060914885e-60,3.11262904606497,0.423,0.233,1.73916038420059e-55,"PCDHB11",0.19,1.78189300411523,FALSE
"CDKN2C",6.06616313905424e-57,2.02642438169554,0.407,0.218,1.34638490871309e-52,"CDKN2C",0.189,1.82894736842105,FALSE
"PROX1",9.31162681104431e-55,1.85882810177013,0.604,0.419,2.06671557071128e-50,"PROX1",0.185,1.43123543123543,FALSE
"EPAS1",2.64930141203705e-45,2.11194318922481,0.375,0.19,5.88012448401622e-41,"EPAS1",0.185,1.925,FALSE
"NAV2",1.62669754126284e-39,0.716583231084776,0.672,0.488,3.61045519283287e-35,"NAV2",0.184,1.36947791164659,FALSE
"SEPP1",3.75229932315473e-49,2.04201239736157,0.343,0.159,8.32822834774192e-45,"SEPP1",0.184,2.0887573964497,FALSE
"HDAC9",1.90366873090491e-47,1.81754295225984,0.44,0.256,4.22519274824344e-43,"HDAC9",0.184,1.69172932330827,FALSE
"CD9",1.93509853458327e-93,1.6828431376139,0.721,0.537,4.29495119750758e-89,"CD9",0.184,1.3363802559415,FALSE
"NOTCH2",3.5989065078756e-26,0.311949339640862,0.72,0.536,7.9877729942299e-22,"NOTCH2",0.184,1.33699633699634,FALSE
"HSPA1B",7.63380739012498e-49,1.1050773399047,0.629,0.446,1.69432355023824e-44,"HSPA1B",0.183,1.40131578947368,FALSE
"PILRB",2.89132356455372e-80,1.01789305237256,0.82,0.638,6.41729265152698e-76,"PILRB",0.182,1.28086419753086,FALSE
"ARAP2",4.56125699986158e-44,1.55230307688547,0.407,0.226,1.01237099111928e-39,"ARAP2",0.181,1.76694915254237,FALSE
"RNF180",1.94065947715884e-39,0.793441379010644,0.587,0.406,4.30729370955405e-35,"RNF180",0.181,1.43509615384615,FALSE
